Catalog No	Item Name	Vendor Name
E3889-100G	Ethylene glycol-bis(2-aminoethylether)-N; N; N'; N'-tetraacetic acid	Sigma Aldrich
F6886-10MG	Forskolin From Coleus Forskohlii	Sigma Aldrich
F5881-10ML	Freund's Adjunvant; complete	Sigma Aldrich
GG1-10X15ML	Glycerol gelatin	Sigma Aldrich
K1377-5G	Kanamycin sulfate from Streptomyces kanamyceticus	Sigma Aldrich
P7255-100MG	Puromycin dihydrochloride from Streptomyces alboniger	Sigma Aldrich
L3771-1KG	Sodium dodecyl sulfate (SDS)	Sigma Aldrich
T6066-5KG	Trizma base	Sigma Aldrich
F5513-50EA	20.3 cm x 25.4 cm BioMax xAR Film	Sigma Aldrich
P8340-5ML	Protease Inhibitor Cocktail	Sigma Aldrich
E6654-1ML	Ezview Red Anti-c-Myc Affinity Gel	Sigma Aldrich
F2426-1ML	EZview Red ANTI-FLAG M2 Affinity Gel	Sigma Aldrich
E6779-ML	EZview Red Anti-HA Affinity Gel	Sigma Aldrich
I2149-1MG	Influenza Hemagglutinin (HA) Peptide	Sigma Aldrich
F4799-4MG	3x FLAG Peptide	Sigma Aldrich
1120-09	Anti-mouse IgD-PE (rat)	Southern Biotech
4050-04	Anti-Rabbit IgG (H+L), (Goat)-Alkaline Phosphatase	Southern Biotech
1031-04	Anti-mouse IgG (H+L), (Goat)-Alkaline Phosphatase	Southern Biotech
6020-04	Anti-Goat IgG (H+L), Fab (Rabbit)-Alkaline Phosphatase	Southern Biotech
3050-08	Anti-Rat IgG (H+L), (Goat)-Biotin	Southern Biotech
498869	Paper Towel; 9.25 in. x 10.25 in. (MFR Item # 23504)	Staples
NT LS160	Liquid Nitrogen	Tech Air
NT LX240	Liquid Nitrogen	Tech Air
1615-5500	1.5 mL Natural Microcentrifuge Tubes	USA Scientific
1402-1208	12-Tube Strips; 0.2 mL PCR Tubes with 12 strips	USA Scientific
1400-1208	Dome top 12-Cap Strips for 0.2 mL PCR 12-Tube Strips	USA Scientific
SA-5004	Horseradish Peroxidase (HRP) Streptavidin Concentrate for IHC	Vector Laboratories
H-4000	ImmEdge Hydrophobic Barrier Pen	Vector Laboratories
SA-5100	Streptavidin Alkaline Phosphatase conjugated	Vector Laboratories
SP-2001	Avidin/ Biotin blocking Kit	Vector Laboratories
MKB-2213	Mouse on Mouse (M.O.M.) Blocking Reagent	Vector Laboratories
B-1075	Biotinylated Peanut Agglutinin (biotin-PNA)	Vector Laboratories
FL-1071	Fluorescein Peanut Agglutinin (FITC-PNA)	Vector Laboratories
BA-1000	Anti-Rabbit IgG (Goat)-Biotin	Vector Laboratories
BA-2001	Anti-mouse IgG, rat adsorbed (Horse)-Biotin	Vector Laboratories
SA-5004	Strepavidin-HRP, concentrate for IHC	Vector Laboratories
60818-689	17 mm x 100 mm Culture Tubes with closures; 14 mL	VWR
14003-552	Wescodyne Plus	VWR
33300-140	Mask	VWR
56616-018	17 in. x 24 in. VWR Absorbent Bench underpads; blue diaper	VWR
500023-304	3 in. x 1 in. First Aid Only Adhesive Plastic Bandages	VWR
41101001	8 in. x 10 in. Autoradiographic Film (Blue Sensitive)	WorldWide Medical Products
917917	Brother 1 in. TZ Series Tape Cartridge; black on white	Staples
917860	Brother 1/2 in. TZ series tape cartridge	Staples
917883	Brother 3/4 in. TZ series tape cartridge	Staples
UNV10220	Binder Clips; 2 in. width	Staples
135855	8 1/2 in. x 11 in. Copy Paper; 20 lb	Staples
478871	Double Pads; 3-Hole; Canary; Wide Ruled; 8 1/2 in. x 11 3/4 in.	Staples
487908	Invisible Tape; Clear; 1 core, 4/3 in. x 1296 in.	Staples
89097-990	Labeling Tape; assorted; 3/4 in.	VWR
612884	Paper Mate Black Profile Ballpoint Pen	Staples
612885	Paper Mate Blue Bold Profile Ballpoint Pen	Staples
89467	Paper Mate Red Bold Profile Ballpoint Pen	Staples
13-379-4	Fisherbrand Marking Pen (lab marker), black fine tip	Fisher Scientific
477938	Sanford Sharpie Permanent Markers, Ultra-Fine Point, Blue	Staples
642736	Sanford Sharpie Permanent Markers, Ultra-Fine Point, Black Ink	Staples
477937	Sanford Sharpie Permanent Markers, Ultra-Fine Point, Red Ink	Staples
MMM-R-330-YW	Pop-Up Note Pad Refills	Staples
04-355-21	Proguard Hand Cream Dispenser	Fisher Scientific
486330	8 1/2 in. x 11 in. Nonstick Sheet Protectors	Staples
368095	8 1/2 in. x 11 in. Transparency Film	Staples
EBC376X	4-Pack: 1 x 11,000-Page Black; 3 x 9,000-Page Cyan/ Magenta/ Yellow Toner for Dell C3760DN Color Laser Printer	Dell Marketing
331-8432	Cyan Toner Cartridge for Dell C3760DN Color Laser Printer	Dell Marketing
331-8429	Black Toner Cartridge for Dell C3760DN Color Laser Printer	Dell Marketing
331-8431	Magenta Toner Cartridge for Dell C3760DN Color Laser Printer	Dell Marketing
331-8430	Yellow Toner Cartridge for Dell C3760DN Color Laser Printer	Dell Marketing
HEWCE255A	HP 55A Black LaserJet Toner Cartridge (CE255A) for b/w printer HP LaserJet 3015	Staples
SA-5100	Streptavidin, Alkaline Phosphatase conjugated	Vector Laboratories
PRA1360	pGEM-T Easy Vector System I	Fisher Scientific
1605-0099	Seal-Rite 0.5 ml Microcentrifuge Tube, assorted colors	USA Scientific
AB0700	Thermo Scientific 96-Well Non-Skirted Plates, Low Profile	Fisher Scientific
AB0800	Thermo Scientific Thermo-Fast 96-Well Full-Skirted Plates	Fisher Scientific
50-550-450	Agarose (IB cat. # 70042)	Fisher Scientific
CD65	Carbon Dioxide, bone dry (CO2)	Tech Air
DURPC1500BKD	Duracell PRO-CELL AA Alkaline Batteries	Staples
45004503	GE Healthcare Amersham Protran Premium NC Nitrocellulose Membranes (GE cat # 10600003)	Fisher Scientific
31258	Pilot G2 Premium Retractable Gel Ink Rolling Ball Pens, Bold Point, 1.0 mm, Blue Ink / Clear Barre, 12/pk	Staples
31257	Pilot G2 Premium Retractable Gel Ink Rolling Ball Pens, Bold Point, 1.0 mm, Blue Ink / Clear Barre	Staples
831610	Staples Large Binder Clips, 2 Width, 1 Capacity, Black	Staples
UNV72220	Universal Sparco Smooth Finish Jumbo Paper Clips, Silver, .045 Gauge	Staples
DURDL303/357BPK	Duracell 1.5 Volt Silver Oxide Watch Calculator Battery, D303/357B	Staples
AB-0700	0.2 ml Un-Skirted 96-well PCR Plate (Abgene)	Fisher Scientific
N/A	Ethanol 200 proof	CUMC Facilities Management
17-0862-81	Anti-Mouse CD86 (B7-2) APC	eBioscience
C5520-CD81	Waxed  Freezer Storage Box, cardboard, 2 high, including deviders (9x9 = 81)	Crystalgen, Inc.
CGFB-810	Blue film 8x10	Crystalgen, Inc.
418807	Sanford Sharpie Permanent Markers, Extra-Fine Tip, Red Ink	Staples
476919	Staples Yellow Pencils No. 2 , soft	Staples
611278	Staples Correction Tape, 1 Line Mini, 1/5 x 234	Staples
130-048-701	anti-FITC microBeads 2ML (120-000-293)	Miltenyi Biotec
DUC0007424	Duck HP260 High-Perfomance Packaging Tape, Clear, 1.88 x60 yeards	Staples
12440-079	IMDM	Life Technologies
395579	3M Scotch-Brite Multi-Purpose Scrub Sponges, Blue, 4 1/2 x 2 4/5 x 3	Staples
721707	Plastic Sprayer Bottle with Trigger Sprayers, 24 Oz.	Staples
SF100-20	10% buffered formalin phosphate	Fisher Scientific
#4858	phospho-S6 Ab (Ser235/236)	Cell Signaling Technology
#4691P	AKT Antidoby	Cell Signaling Technology
12163	QIAGEN Plasmid Maxi Kit (25)	QIAGEN
27106	QIAprep Spin Miniprep Kit (250)	QIAGEN
N-5060-5	NP-KLH (Keyhole Limpet Hemocyanin)	Biosearch Technologies
AB-0558	Thermo Scientific Adhesive PCR Seals (Cat. # AB0558)	Fisher Scientific
A5441	Beta-actin	Sigma Aldrich
556419	Annexin V FITC	BD Pharmingen
553721	Anti-mouse CD40 (Hamster)	BD Biosciences
09-740-61B	0.45 um Syringe Filters	Fisher Scientific
AC202465000	hydrogen peroxide 35%	Fisher Scientific
9559S	PTEN (138G6) Rabbit mAb	Cell Signaling Technology
EC6025BOX	Novex 4-20 % Tris-Glycine Mini Protein gels; 1.0 mm; 10 well	Life Technologies
21453-315	Thermal Paper; K65HM-CE /KP65HM-CE High Density Paper; 110 mm x 20 m	VWR
EC6025BOX	Novex 4-20 % Tris-Glycine Mini Protein gels; 1.0 mm; 10 well	Life Technologies
457099	Elmer's Krazy Glue All Purpose Bursh On glue, Net WT 5g ( 0.18 oz.)	Staples
NC9054546	1 CC  Insulin Syringe with 28G x 1/2 in. permanently attached needle. Self-contained, regular bevel, regular wall (BD#329410)	Fisher Scientific
AB-0800/B	0.2ml Skirted 96-well PCR Plate (AB-0800B)	Fisher Scientific
89097-992	VWR Autoclave Indicator Tape, lead free	VWR Scientific
NI 160L22	Liquid Nitrogen	Tech Air
NI 240L22	Liquid Nitrogen	Tech Air
11681451001	NBT/BCIP STOCK SOLUTION 8 ML (Roche product)	Sigma Aldrich
A7906-100G	Bovine Serum Albumin	Sigma Aldrich
369738	Double Pads; 3-Hole; Canary; Wide Ruled; 8 1/2 in. x 11 3/4 in.	Staples
FD0933	FastDigest Bsp1407I	Fisher Scientific
FD0663	FastDigest SmaI	Fisher Scientific
XP04120BOX	Life Technologies	Novex 4-12 % Gel
N-5060-25	Biosearch Technologies	NP-KLH (Keyhole Limpet Hemocyanin)
34155	KIMTECH SCIENCE KIMWIPES Delicate Task Wipers	Quartzy
2498018	Staples Ballpoint Retractable Pens Med 1.0mm Black 12pk (50793), dz of 12	Staples
2498019	Staples Ballpoint Retractable Pens Med 1.0mm Red 12pk (50792) $2.77 for dz of 12	Staples
103236	PerCP/Cy5.5 anti-mouse/human CD45R/B220 [RA3-6B2] 100 ug	Bio Legend
121217	PE/Cy7 anti-mouse CD43 Activation-Associated Glycoform [1B11] 25 ug	Bio Legend
45000682	ECL Rabbit IgG, HRP-linked whole Ab (from donkey)	Fisher Scientific
18-8816-33	Rabbit TrueBlot Anti-Rabbit IgG HRP	Rockland
SK-4205	ImmPACT AEC Peroxidase (HRP) Substrate	Vector Lab
815-S	1.5 mL Sterile Microcentrifuge Tubes With Screw Caps, bag of 500	DOT Scientific Inc
NC0724906	SONY BIOTECHNOLOGY SH800 SORTING CHIP 100UM 40PC	Fisher Scientific
NI 230L22	Liquid Nitrogen	Lab Tech Air
FD1714	FastDigest BseJI	Thermo Fisher Scientific
55411-055	Industrial Razor Blades	VWR
E2619V00	Human Plasma frozen	New York Blood Center
NC0148652	Aquaguard-2 (water bath)	Fisher Scientific
406608	PE anti-mouse IgG1	BioLegend
PI69705	Microcentrifuge spin cups	Fisher Scientific
SLGP033RS	Millipore  Millex Syringe	Fisher Scientific
45004003	Amersham Protran	Fisher Scientific
79246	Ultracrimp tubes	Fisher Scientific
45001750	Ficoll-Paque PLUS	Fisher Scientific
NA935V	ECL anti rat IgG	GE Healthcare Life Sciences
XP04205BOX	Novex 4-20 Tris-Glycine Mini Protein gels	Life Technologies
17061801	Protein G sepharose	Fisher Scientific
RL18-8817-33	Mouse TrueBlot	VWR
HPA035977	Anti-KMT2D	Sigma-Aldrich
R0641	Thermo Scientific 2X RNA Loading Dye	Thermo Fisher Scientific
AC423555000	Chloroform	Fisher Scientific R&D Systems
ER1871	PscI	Life Technologies
18418012	Oligo(dT)12-18 Primer	LIfe Technology
50-403-867	Microcentifuge Tubes, black, 1.5mL (Celltreat # 229437)	Fisher Scientific
103230	Pacific Blue™ anti-mouse/human CD45R/B220 [RA3-6B2] 25 ug	BioLegend
OB2040-01 	Goat Anti-Human IgG-UNLB (Southern Biotech cat. # 2040-01)	Fisher Scientific
50-150-30	Anti-Mouse CD86 (B7-2) APC (Life Technologies cat. # 17-0862-81)	Fisher Scientific
FEREK0031	T4 Polynucleotide Kinase (original cat. # EK0031)	Fisher Scientific
FD0324	FastDigest Eco47III	Thermo Fisher Scientific
5000006	Bio-Rad Protein Assay Dye Reagent Concentrate, 450ml	Bio-Rad
FB SB 2530	UVT GEL TRAY W/GASKETED GATES used with Owl Gel Systems Model A2	Fisher Bioreagents
1367522	5 mL Falcon Disposable Polystyrene Serological Pipets (BD#357543)	Fisher Scientific
479067	Duracell Procell Alkaline AA Batteries, 1.5V, 24-Pack	Staples
3724S	HA-Tag (C29F4) Rabbit mAb	Cell Signaling Technology
NP0007	NuPAGE LDS Sample Buffer (4X)	Life Technologies
101265	250 mL/75 sq. cm Falcon Tissue Culture Treated Flasks (BD#353024)	Fisher Scientific
877219	Falcon Tissue Culture Treated Flasks	Fisher Scientific
9602S		
12565136		
087721B		
877217		
22363548		
07-200-364		
307626		
3731-RI		
21-402-577		
N8010560		
